accel_x,accel_y,accel_z,gesture,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,sample,sensor,stance,timestamp
,,,punch,,,,0.2371301,0.32390884,-0.59761673,0.6940509,25,rotation_vector,combat,1.055459976196289
6.29046,1.9490347,8.013618,punch,,,,,,,,25,linear_acceleration,combat,1.0563631057739258
8.019602,3.1087642,7.0076995,punch,,,,,,,,25,linear_acceleration,combat,1.0584750175476074
,,,punch,0.18325958,-0.7128797,0.1966986,,,,,25,gyroscope,combat,1.0601317882537842
,,,punch,,,,0.20234424,0.34302053,-0.57261044,0.71659684,25,rotation_vector,combat,1.1930692195892334
,,,punch,1.2110404,-1.014189,0.49632803,,,,,25,gyroscope,combat,1.1943509578704834
,,,punch,,,,0.18689613,0.3445983,-0.55025774,0.7372505,25,rotation_vector,combat,1.1964900493621826
5.753834,1.3093896,5.2547054,punch,,,,,,,,25,linear_acceleration,combat,1.1983659267425537
5.88997,2.586224,2.2461889,punch,,,,,,,,25,linear_acceleration,combat,1.2010929584503174
,,,punch,2.3489296,-1.110553,0.50747633,,,,,25,gyroscope,combat,1.2029120922088623
,,,punch,,,,0.2200632,0.33336443,-0.588986,0.7025211,25,rotation_vector,combat,1.2044999599456787
,,,punch,1.7203492,0.10338894,0.36361754,,,,,25,gyroscope,combat,1.2073171138763428
4.943371,4.577384,1.5066818,punch,,,,,,,,25,linear_acceleration,combat,1.2093560695648193
3.0214314,4.0268393,1.6955985,punch,,,,,,,,25,linear_acceleration,combat,1.2105438709259033
,,,punch,,,,0.19086699,0.3464228,-0.5567294,0.7304886,25,rotation_vector,combat,1.2124831676483154
,,,punch,2.6846,-0.5128214,0.41401392,,,,,25,gyroscope,combat,1.2151930332183838
,,,punch,,,,0.18565649,0.34347096,-0.5503202,0.7380428,25,rotation_vector,combat,1.2177338600158691
,,,punch,0.43157628,0.1591304,0.24862215,,,,,25,gyroscope,combat,1.219310998916626
1.9071226,1.2171412,2.1015723,punch,,,,,,,,25,linear_acceleration,combat,1.2215721607208252
1.9564924,-0.75877285,1.8541404,punch,,,,,,,,25,linear_acceleration,combat,1.2233200073242188
,,,punch,,,,0.17981161,0.3460883,-0.5429752,0.7436859,25,rotation_vector,combat,1.2241759300231934
,,,punch,0.47036624,-0.10048734,0.1600467,,,,,25,gyroscope,combat,1.2255949974060059
1.9926529,0.5655017,-1.8332922,punch,,,,,,,,25,linear_acceleration,combat,1.2497611045837402
,,,punch,,,,0.1689724,0.3513289,-0.5225019,0.7582929,25,rotation_vector,combat,1.250087022781372
,,,punch,3.1410692,-0.029168816,-0.05009095,,,,,25,gyroscope,combat,1.253788948059082
2.0798602,-0.7890892,-0.1673193,punch,,,,,,,,25,linear_acceleration,combat,1.2538061141967773
,,,punch,,,,0.15729092,0.35754034,-0.49666154,0.7750819,25,rotation_vector,combat,1.2557260990142822
,,,punch,3.10121,-0.07452556,0.0056505036,,,,,25,gyroscope,combat,1.2571189403533936
,,,punch,1.9500346,-0.14095716,0.12858713,,,,,25,gyroscope,combat,1.258800983428955
,,,punch,,,,0.14986381,0.3653476,-0.47592714,0.78584695,25,rotation_vector,combat,1.2612569332122803
1.6822076,0.9823456,-2.3683205,punch,,,,,,,,25,linear_acceleration,combat,1.263660192489624
0.89335394,0.6673994,-1.5846033,punch,,,,,,,,25,linear_acceleration,combat,1.265538215637207
,,,punch,,,,0.1546779,0.38578755,-0.46790943,0.77993816,25,rotation_vector,combat,1.2670762538909912
,,,punch,2.3474023,0.0009162979,-0.09850202,,,,,25,gyroscope,combat,1.268265962600708
,,,punch,,,,0.14744146,0.4009312,-0.45132953,0.7834646,25,rotation_vector,combat,1.3605268001556396
,,,punch,,,,0.15242408,0.39627004,-0.46127462,0.7790781,25,rotation_vector,combat,1.3641009330749512
,,,punch,,,,0.13130975,0.40891826,-0.43217674,0.7929482,25,rotation_vector,combat,1.3641109466552734
,,,punch,0.6273586,-0.23457226,0.20097467,,,,,25,gyroscope,combat,1.3641159534454346
0.5160732,0.12186146,-1.2491755,punch,,,,,,,,25,linear_acceleration,combat,1.3641211986541748
,,,punch,1.3726143,-0.17592919,-0.10644327,,,,,25,gyroscope,combat,1.3655259609222412
0.17104292,0.6435523,-1.1192863,punch,,,,,,,,25,linear_acceleration,combat,1.3671519756317139
,,,punch,1.68385,-0.0693332,-0.1001819,,,,,25,gyroscope,combat,1.3689920902252197
,,,punch,1.0722213,-0.24572055,0.047647487,,,,,25,gyroscope,combat,1.370758056640625
,,,punch,,,,0.1361204,0.40724227,-0.43591753,0.7909495,25,rotation_vector,combat,1.3729119300842285
-0.7193494,1.7070594,-0.72316813,punch,,,,,,,,25,linear_acceleration,combat,1.3753008842468262
,,,punch,,,,0.14150648,0.40454817,-0.44207862,0.78796136,25,rotation_vector,combat,1.3770709037780762
