accel_x,accel_y,accel_z,gesture,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,sample,sensor,stance,timestamp
,,,turn,-0.21456642,0.3510948,0.35811976,,,,,8,gyroscope,travel,0.3013451099395752
0.20709503,0.440135,-0.4340868,turn,,,,,,,,8,linear_acceleration,travel,0.3013498783111572
0.19250831,0.5352602,-0.53739595,turn,,,,,,,,8,linear_acceleration,travel,0.30135607719421387
,,,turn,,,,0.77581203,0.003378471,0.5963077,-0.20620771,8,rotation_vector,travel,0.3013608455657959
,,,turn,1.3510813,-0.65041876,-0.6042985,,,,,8,gyroscope,travel,0.30136609077453613
0.021865904,0.53677845,-0.7103553,turn,,,,,,,,8,linear_acceleration,travel,0.30137085914611816
-0.10057545,-3.2904022,1.8046783,turn,,,,,,,,8,linear_acceleration,travel,0.301375150680542
,,,turn,0.4167628,0.084910266,0.21853705,,,,,8,gyroscope,travel,0.301379919052124
,,,turn,,,,0.65327024,0.20022415,0.62197405,-0.3824876,8,rotation_vector,travel,0.31050992012023926
,,,turn,-0.257327,0.38148534,0.3651447,,,,,8,gyroscope,travel,0.3211541175842285
,,,turn,-0.35934147,0.535118,0.42714754,,,,,8,gyroscope,travel,0.3301980495452881
,,,turn,-10.928379,-1.2463179,0.05299256,,,,,8,gyroscope,travel,0.35034918785095215
,,,turn,,,,0.7266752,-0.6096835,-0.17545174,0.2635258,8,rotation_vector,travel,0.3545410633087158
,,,turn,-1.3029755,-4.027129,2.1786509,,,,,8,gyroscope,travel,0.3545510768890381
-9.606314,-4.1885114,0.32484198,turn,,,,,,,,8,linear_acceleration,travel,0.3545558452606201
-11.232742,-7.423955,-5.5338173,turn,,,,,,,,8,linear_acceleration,travel,0.35456013679504395
,,,turn,-5.6428676,-3.4393241,5.7519073,,,,,8,gyroscope,travel,0.35918688774108887
,,,turn,,,,0.77633977,0.0028293435,0.5963262,-0.20416597,8,rotation_vector,travel,0.3591928482055664
,,,turn,,,,0.19861054,0.54608506,0.25509587,-0.7728333,8,rotation_vector,travel,0.3625202178955078
-6.847233,-9.369919,-3.2537875,turn,,,,,,,,8,linear_acceleration,travel,0.3654649257659912
-0.81719685,-0.2990899,0.2905681,turn,,,,,,,,8,linear_acceleration,travel,0.3699469566345215
-2.3359423,-5.278227,-7.4222307,turn,,,,,,,,8,linear_acceleration,travel,0.36995601654052734
-13.167815,10.577112,-0.8888147,turn,,,,,,,,8,linear_acceleration,travel,0.37287306785583496
